StudentId,ClassId,AttendTime,Status
7,6835,2024-03-26 20:32:49,Present
8,7466,2024-01-29 00:47:51,Absent
9,5456,2024-09-27 07:11:56,Present
1,6491,2024-11-30 21:28:03,Absent
2,4179,2024-02-04 13:58:14,Absent
5,2020,2024-06-12 00:35:26,Present
6,5338,2024-05-28 09:51:27,Present
12,2913,2024-10-17 05:58:06,Present
13,9418,2024-04-15 21:54:18,Absent
10,3859,2024-03-05 20:35:50,Present
18,2145,2024-08-04 23:48:33,Present
19,5759,2024-03-14 22:18:53,Absent
11,7813,2024-03-13 14:19:18,Absent
14,3810,2024-07-05 15:31:38,Present
15,8608,2024-11-21 12:32:48,Present
16,2572,2024-01-21 00:21:30,Present
17,8810,2024-11-25 08:58:55,Absent
3,9326,2024-03-24 06:39:21,Absent
4,4651,2024-05-17 12:13:03,Present
22,835,2024-05-26 20:06:24,Absent
23,9719,2024-10-10 01:53:48,Present
20,4157,2024-03-24 20:37:35,Present
21,9567,2024-08-06 00:52:37,Absent
24,4651,2024-07-09 06:10:10,Present
25,3389,2024-11-03 05:17:46,Present
26,5879,2024-10-09 01:59:11,Absent
27,7406,2024-08-10 16:49:06,Absent
28,4524,2024-04-23 19:36:10,Absent
29,4380,2024-02-11 15:43:44,Present
30,9907,2024-07-01 08:20:15,Present
31,9335,2024-11-20 00:29:44,Absent
32,5056,2024-03-22 13:22:26,Absent
33,4757,2024-01-07 17:33:43,Absent
34,2865,2024-05-27 20:05:32,Absent
35,5522,2024-05-03 15:46:27,Present
36,6224,2024-06-10 19:55:05,Present
37,9018,2024-04-04 17:46:45,Absent
38,7475,2024-01-07 22:25:51,Absent
39,6386,2024-11-13 16:19:45,Absent
40,1845,2024-05-31 10:41:26,Present
41,4228,2024-04-15 12:49:27,Present
42,9970,2024-12-27 21:09:14,Absent
43,1029,2024-05-21 17:15:02,Absent
44,8585,2024-10-11 08:21:10,Absent
45,4639,2024-04-02 14:33:48,Present
46,7883,2024-10-26 07:42:58,Present
47,9434,2024-11-12 03:42:09,Absent
48,9963,2024-12-26 11:55:02,Present
49,3238,2024-07-08 01:37:12,Absent
50,5061,2024-04-07 12:31:43,Present
51,7236,2024-09-28 03:47:17,Present
52,7504,2024-01-02 03:33:10,Absent
53,7783,2024-12-03 23:10:14,Present
54,9385,2024-04-24 07:17:29,Absent
55,1123,2024-09-26 04:52:42,Absent
56,2188,2024-10-11 12:55:25,Present
57,6855,2024-08-31 21:54:45,Present
58,8379,2024-11-07 12:20:11,Present
59,220,2024-11-20 15:31:40,Present
60,5757,2024-06-03 16:00:01,Absent
61,1037,2024-01-25 16:41:57,Present
62,3061,2024-07-13 18:46:12,Absent
63,9327,2024-09-12 03:33:07,Absent
64,3943,2024-11-10 19:12:50,Present
65,8903,2024-01-04 18:33:47,Absent
66,5401,2024-08-28 13:22:01,Absent
67,625,2024-09-14 23:01:03,Present
68,3921,2024-06-25 03:54:41,Absent
69,9181,2024-04-05 08:03:26,Absent
70,3642,2024-06-14 02:10:39,Present
71,4981,2024-08-05 19:30:24,Present
72,2270,2024-05-13 10:42:47,Present
73,8893,2024-11-24 21:34:01,Present
74,6239,2024-04-03 10:32:35,Present
75,948,2024-12-03 13:35:25,Present
76,5406,2024-06-08 14:36:34,Present
77,1615,2024-06-23 10:45:15,Present
78,5406,2024-03-06 07:13:48,Absent
79,2952,2024-10-24 15:56:40,Absent
80,9614,2024-09-28 19:37:45,Present
81,6400,2024-08-08 14:25:17,Present
82,7317,2024-01-15 16:23:19,Absent
83,8533,2024-09-01 04:07:30,Absent
84,5352,2024-10-11 05:07:58,Present
85,6775,2024-04-12 05:06:43,Absent
86,8778,2024-02-16 12:57:41,Absent
87,5375,2024-12-01 13:28:51,Present
88,8751,2024-04-17 18:28:43,Present
89,7968,2024-04-27 23:08:24,Absent
90,6978,2024-11-07 11:29:05,Absent
91,1837,2024-11-28 08:51:31,Present
92,6263,2024-11-20 11:41:19,Present
93,5213,2024-11-26 19:47:41,Absent
94,4303,2024-06-14 23:35:42,Present
95,5842,2024-10-27 08:30:32,Absent
96,6536,2024-06-24 16:02:34,Absent
97,6568,2024-01-21 08:33:36,Absent
98,6333,2024-10-08 05:30:02,Absent
99,3813,2024-08-10 00:45:22,Absent
100,2464,2024-09-16 20:32:53,Present
101,3857,2024-11-12 23:40:57,Absent
102,4920,2024-11-15 16:29:24,Absent
103,2303,2024-05-18 15:42:47,Absent
104,1863,2024-10-21 05:31:29,Absent
105,4940,2024-11-14 17:16:36,Present
106,5372,2024-05-25 19:08:50,Absent
107,7876,2024-05-08 20:07:12,Absent
108,7381,2024-09-05 17:05:15,Absent
109,785,2024-04-06 23:43:30,Present
110,8895,2024-12-27 05:35:19,Present
111,9862,2024-03-27 02:21:16,Absent
112,6953,2024-06-15 06:04:45,Present
113,9279,2024-01-17 06:09:43,Present
114,3267,2024-01-01 21:05:19,Absent
115,6022,2024-01-27 18:11:04,Present
116,300,2024-09-11 18:10:36,Absent
117,159,2024-09-21 18:54:37,Absent
118,8924,2024-11-24 23:47:42,Present
119,8450,2024-08-14 14:02:01,Present
120,2089,2024-08-31 21:57:24,Present
121,1873,2024-07-27 02:26:40,Present
122,9539,2024-01-21 13:24:54,Absent
123,4195,2024-12-11 12:37:00,Present
124,1415,2024-08-19 16:03:09,Absent
125,2263,2024-08-19 20:36:06,Absent
126,6853,2024-12-01 17:47:55,Absent
127,7650,2024-02-28 07:49:59,Present
128,5940,2024-12-28 22:51:52,Present
129,9405,2024-04-13 23:44:58,Present
130,9302,2024-09-13 14:39:42,Present
131,1939,2024-11-11 15:40:56,Present
132,8212,2024-11-18 10:52:40,Absent
133,3311,2024-09-09 04:54:30,Absent
134,8155,2024-02-01 23:43:50,Absent
135,4411,2024-01-07 15:17:44,Present
136,1016,2024-12-09 22:52:24,Absent
137,4809,2024-10-21 06:37:53,Absent
138,168,2024-04-09 03:03:41,Present
139,7598,2024-01-10 02:43:11,Present
140,7559,2024-05-27 06:38:47,Present
141,7040,2024-03-09 21:03:59,Absent
142,9940,2024-07-17 14:26:24,Absent
143,572,2024-09-17 17:15:56,Absent
144,4126,2024-05-12 04:33:42,Absent
145,6855,2024-04-29 11:41:49,Absent
146,947,2024-12-20 20:10:50,Absent
147,8328,2024-02-17 09:10:32,Absent
148,3613,2024-08-25 09:03:47,Absent
149,7077,2024-03-15 17:46:57,Present
150,1000,2024-04-08 19:47:13,Absent
151,4291,2024-05-10 17:53:31,Absent
152,1835,2024-04-25 18:02:59,Present
153,8770,2024-06-02 08:54:43,Absent
154,4686,2024-10-15 16:11:54,Absent
155,2758,2024-11-14 03:15:04,Absent
156,1315,2024-03-16 20:56:10,Absent
157,7192,2024-05-09 14:59:49,Absent
158,2003,2024-09-16 12:35:45,Present
159,8986,2024-10-06 22:53:37,Absent
160,2387,2024-05-16 16:58:47,Present
161,1287,2024-07-30 15:47:16,Absent
162,9836,2024-10-19 21:09:32,Present
163,1588,2024-08-09 00:11:30,Present
