StudentId,ClassId,AttendTime,Status
48,3934,2024-08-20 21:00:00,Present
642,2654,2024-04-25 22:00:00,Present
997,8314,2024-10-10 21:00:00,Present
284,1370,2024-01-18 22:00:00,Absent
546,9847,2024-02-15 21:00:00,Absent
862,858,2024-05-16 22:00:00,Present
136,929,2024-08-21 23:00:00,Present
204,963,2024-05-17 22:00:00,Present
971,7454,2024-08-31 23:00:00,Absent
295,3374,2024-02-20 21:00:00,Absent
684,8192,2024-08-15 21:00:00,Absent
104,239,2024-09-23 23:00:00,Present
7,9684,2024-02-03 22:00:00,Absent
31,1817,2024-07-18 21:00:00,Absent
106,7025,2024-06-08 22:00:00,Absent
249,5961,2024-04-30 22:00:00,Absent
797,2438,2024-04-22 23:00:00,Absent
73,7975,2024-08-22 23:00:00,Present
536,4897,2024-07-28 23:00:00,Absent
827,3062,2024-08-12 21:00:00,Present
480,4700,2024-09-23 23:00:00,Present
490,1160,2024-03-26 23:00:00,Present
898,4572,2024-07-09 23:00:00,Present
650,3403,2024-07-10 21:00:00,Present
394,6166,2024-07-18 22:00:00,Present
188,8506,2024-04-14 21:00:00,Absent
514,3264,2024-03-01 23:00:00,Absent
466,5293,2024-09-12 23:00:00,Absent
292,1794,2024-09-25 23:00:00,Present
641,7774,2024-02-09 23:00:00,Absent
989,4621,2024-08-29 21:00:00,Absent
197,6560,2024-03-30 22:00:00,Present
668,2773,2024-06-21 21:00:00,Absent
435,4593,2024-04-07 22:00:00,Absent
301,7460,2024-04-28 21:00:00,Present
656,9528,2024-01-07 23:00:00,Absent
439,5793,2024-08-16 22:00:00,Present
958,9669,2024-09-24 21:00:00,Absent
332,2025,2024-05-23 22:00:00,Present
142,4906,2024-01-11 22:00:00,Absent
326,51,2024-03-22 21:00:00,Present
91,6545,2024-09-22 23:00:00,Absent
15,1637,2024-04-18 23:00:00,Absent
926,2942,2024-09-22 22:00:00,Present
551,2506,2024-09-23 21:00:00,Present
811,8429,2024-05-01 21:00:00,Present
511,1602,2024-05-29 23:00:00,Absent
990,2232,2024-08-06 22:00:00,Present
48,8449,2024-10-18 21:00:00,Present
849,7462,2024-08-25 21:00:00,Absent
526,1160,2024-03-26 23:00:00,Present
33,7806,2024-01-19 21:00:00,Present
916,2120,2024-04-04 21:00:00,Present
277,3559,2024-07-24 22:00:00,Absent
492,7838,2024-05-12 22:00:00,Present
144,6793,2024-07-04 22:00:00,Present
753,397,2024-03-26 22:00:00,Present
947,2404,2024-08-04 23:00:00,Absent
424,5759,2024-10-08 23:00:00,Absent
968,9930,2024-07-26 23:00:00,Absent
234,482,2024-02-06 21:00:00,Present
849,464,2024-03-17 22:00:00,Absent
323,7096,2024-07-16 22:00:00,Present
7,613,2024-08-02 21:00:00,Absent
954,9429,2024-06-21 23:00:00,Absent
476,4319,2024-10-27 22:00:00,Absent
683,3251,2024-03-07 23:00:00,Present
8,3808,2024-02-07 21:00:00,Present
713,8034,2024-09-15 23:00:00,Present
211,1819,2024-02-07 21:00:00,Present
384,2840,2024-03-30 21:00:00,Absent
376,1957,2024-05-23 22:00:00,Present
677,6341,2024-10-22 23:00:00,Absent
558,942,2024-01-17 23:00:00,Absent
846,7637,2024-09-08 23:00:00,Present
223,8204,2024-01-26 21:00:00,Present
732,1702,2024-03-31 23:00:00,Present
607,3394,2024-07-18 22:00:00,Absent
499,3199,2024-08-20 23:00:00,Present
964,9537,2024-06-04 21:00:00,Present
599,9008,2024-07-01 22:00:00,Absent
438,1489,2024-01-04 23:00:00,Absent
416,7408,2024-02-22 21:00:00,Present
714,9571,2024-07-18 22:00:00,Present
380,5060,2024-09-11 23:00:00,Present
534,7491,2024-08-21 22:00:00,Absent
937,5925,2024-10-15 22:00:00,Absent
813,8840,2024-05-15 21:00:00,Absent
857,4578,2024-10-27 21:00:00,Present
621,1169,2024-07-31 21:00:00,Present
65,3361,2024-07-20 23:00:00,Absent
618,9009,2024-02-07 21:00:00,Present
731,1215,2024-02-05 23:00:00,Present
873,3775,2024-07-08 21:00:00,Present
13,5241,2024-06-29 23:00:00,Absent
718,369,2024-06-25 23:00:00,Present
657,4900,2024-07-31 21:00:00,Present
620,8896,2024-10-10 23:00:00,Absent
377,9668,2024-06-12 23:00:00,Present
770,1990,2024-07-10 22:00:00,Present
89,907,2024-05-07 21:00:00,Absent
73,2291,2024-06-24 23:00:00,Absent
946,8471,2024-04-08 23:00:00,Absent
193,1476,2024-02-17 21:00:00,Absent
450,8622,2024-03-06 23:00:00,Absent
321,9056,2024-01-16 22:00:00,Present
914,8523,2024-03-06 21:00:00,Present
396,3002,2024-03-19 23:00:00,Absent
555,1643,2024-03-20 21:00:00,Present
698,3865,2024-02-12 23:00:00,Present
15,8368,2024-03-18 21:00:00,Absent
173,5929,2024-09-14 23:00:00,Absent
603,7789,2024-04-11 21:00:00,Absent
977,82,2024-02-13 22:00:00,Present
112,7231,2024-10-14 21:00:00,Present
79,7115,2024-05-21 23:00:00,Absent
747,6408,2024-01-03 22:00:00,Absent
272,3023,2024-03-10 23:00:00,Absent
218,873,2024-02-03 21:00:00,Absent
28,9517,2024-05-15 23:00:00,Present
629,559,2024-06-06 23:00:00,Present
819,260,2024-09-16 23:00:00,Present
160,9032,2024-05-22 21:00:00,Present
494,1564,2024-02-18 22:00:00,Absent
17,2380,2024-01-23 22:00:00,Absent
17,7843,2024-07-20 22:00:00,Absent
411,6282,2024-04-27 22:00:00,Present
584,618,2024-03-09 22:00:00,Present
904,4423,2024-08-07 22:00:00,Present
264,6151,2024-03-05 23:00:00,Present
836,3338,2024-08-15 23:00:00,Absent
682,6091,2024-05-30 21:00:00,Absent
789,6591,2024-03-05 22:00:00,Absent
456,5480,2024-03-15 23:00:00,Present
514,6276,2024-06-27 22:00:00,Absent
665,1748,2024-10-01 23:00:00,Present
78,9132,2024-05-10 22:00:00,Absent
578,2536,2024-09-29 23:00:00,Present
817,704,2024-05-31 22:00:00,Absent
684,3252,2024-05-25 22:00:00,Absent
512,6109,2024-07-19 21:00:00,Present
809,2855,2024-04-27 21:00:00,Present
658,895,2024-06-06 21:00:00,Absent
440,2110,2024-09-20 21:00:00,Present
93,7567,2024-01-18 21:00:00,Present
980,4120,2024-04-02 22:00:00,Absent
54,6010,2024-02-07 23:00:00,Absent
544,6699,2024-09-26 22:00:00,Absent
729,4546,2024-03-16 23:00:00,Absent
736,3816,2024-04-19 21:00:00,Present
27,9803,2024-05-17 23:00:00,Present
332,8197,2024-04-19 21:00:00,Absent
377,1925,2024-06-23 22:00:00,Present
779,583,2024-09-13 22:00:00,Absent
63,8871,2024-03-14 22:00:00,Absent
573,4034,2024-04-18 23:00:00,Absent
299,9878,2024-09-12 22:00:00,Absent
180,2098,2024-03-09 23:00:00,Absent
101,1342,2024-01-31 23:00:00,Present
506,7209,2024-01-05 23:00:00,Absent
580,9644,2024-05-12 21:00:00,Present
250,1341,2024-06-17 22:00:00,Present
778,6314,2024-02-27 23:00:00,Absent
429,9047,2024-02-10 22:00:00,Present
864,593,2024-06-10 21:00:00,Present
639,3029,2024-10-05 23:00:00,Present
650,5922,2024-06-20 22:00:00,Absent
970,7323,2024-07-07 23:00:00,Present
535,5889,2024-04-09 21:00:00,Present
268,8095,2024-02-18 23:00:00,Present
122,2691,2024-06-02 21:00:00,Absent
700,9193,2024-10-28 23:00:00,Absent
726,5380,2024-06-19 21:00:00,Present
728,6853,2024-02-14 22:00:00,Present
323,103,2024-06-12 23:00:00,Absent
442,3379,2024-05-12 22:00:00,Present
375,682,2024-02-20 22:00:00,Present
805,4681,2024-01-31 21:00:00,Absent
995,2944,2024-09-18 22:00:00,Present
763,6727,2024-09-05 21:00:00,Absent
923,7797,2024-08-12 23:00:00,Absent
469,9594,2024-05-10 23:00:00,Absent
3,3508,2024-08-15 22:00:00,Present
795,1172,2024-10-27 22:00:00,Present
119,2439,2024-07-04 23:00:00,Present
963,7527,2024-10-06 21:00:00,Absent
720,7590,2024-10-10 23:00:00,Present
293,4205,2024-06-12 22:00:00,Present
326,4075,2024-07-06 21:00:00,Absent
725,4205,2024-06-12 23:00:00,Absent
154,1704,2024-05-07 23:00:00,Present
890,2570,2024-06-30 22:00:00,Present
618,6564,2024-01-23 21:00:00,Absent
916,1290,2024-06-13 23:00:00,Absent
281,245,2024-04-25 21:00:00,Present
823,9117,2024-02-19 21:00:00,Absent
98,9103,2024-06-02 21:00:00,Absent
922,8084,2024-07-13 23:00:00,Present
719,790,2024-10-16 22:00:00,Present
250,7287,2024-01-22 22:00:00,Present
114,3136,2024-07-03 23:00:00,Absent
711,6268,2024-09-02 23:00:00,Absent
311,1246,2024-05-29 22:00:00,Present
904,5652,2024-02-02 23:00:00,Absent
848,7166,2024-05-22 22:00:00,Absent
349,2127,2024-10-22 22:00:00,Present
940,5847,2024-01-23 21:00:00,Present
268,7096,2024-07-16 22:00:00,Absent
81,4505,2024-05-16 23:00:00,Absent
564,1877,2024-08-04 21:00:00,Absent
839,2858,2024-09-16 21:00:00,Absent
795,5403,2024-02-11 23:00:00,Present
386,5516,2024-09-28 23:00:00,Absent
771,5433,2024-08-19 21:00:00,Present
872,7245,2024-01-28 21:00:00,Absent
916,4960,2024-02-28 21:00:00,Present
30,8247,2024-06-01 22:00:00,Absent
198,2353,2024-05-05 22:00:00,Absent
52,1468,2024-01-22 22:00:00,Absent
245,1333,2024-07-15 22:00:00,Absent
972,8286,2024-10-04 23:00:00,Absent
222,3922,2024-10-08 21:00:00,Present
846,5895,2024-05-22 21:00:00,Present
520,2206,2024-04-23 21:00:00,Present
354,511,2024-01-18 22:00:00,Absent
842,7202,2024-06-30 21:00:00,Absent
845,4027,2024-03-09 21:00:00,Present
943,3739,2024-06-19 21:00:00,Absent
34,4647,2024-05-14 21:00:00,Present
265,1880,2024-04-21 23:00:00,Present
522,6417,2024-08-11 23:00:00,Absent
152,4518,2024-03-13 22:00:00,Absent
451,4435,2024-05-17 23:00:00,Present
911,7605,2024-10-16 22:00:00,Absent
75,7148,2024-02-04 23:00:00,Present
14,5231,2024-04-10 22:00:00,Absent
87,6048,2024-09-21 21:00:00,Present
612,5843,2024-09-08 23:00:00,Absent
222,2091,2024-05-09 21:00:00,Present
439,6724,2024-10-21 23:00:00,Present
700,5727,2024-10-24 22:00:00,Present
737,1607,2024-10-21 23:00:00,Present
438,2811,2024-06-30 22:00:00,Absent
779,7953,2024-06-28 22:00:00,Present
307,9791,2024-05-23 23:00:00,Absent
482,3945,2024-08-12 21:00:00,Present
808,553,2024-04-10 23:00:00,Present
953,2579,2024-02-16 23:00:00,Present
735,7262,2024-01-22 22:00:00,Absent
887,606,2024-07-08 22:00:00,Absent
823,8496,2024-08-22 22:00:00,Absent
565,468,2024-03-19 23:00:00,Present
640,1780,2024-09-20 22:00:00,Present
730,3841,2024-06-16 22:00:00,Absent
709,147,2024-02-01 23:00:00,Absent
582,2495,2024-04-05 21:00:00,Present
720,7761,2024-08-01 23:00:00,Absent
865,9186,2024-02-19 21:00:00,Present
544,6751,2024-01-19 23:00:00,Present
26,9524,2024-08-06 21:00:00,Present
671,3316,2024-08-21 23:00:00,Present
889,5175,2024-04-21 23:00:00,Absent
572,5306,2024-01-15 23:00:00,Absent
949,8324,2024-02-26 21:00:00,Present
884,2565,2024-02-17 23:00:00,Present
40,7961,2024-06-25 22:00:00,Present
242,6977,2024-02-01 22:00:00,Present
335,7810,2024-03-14 22:00:00,Present
928,8841,2024-07-31 22:00:00,Present
839,4407,2024-03-01 23:00:00,Present
212,7880,2024-05-17 22:00:00,Present
629,4567,2024-01-18 22:00:00,Present
578,6237,2024-07-11 22:00:00,Present
659,7894,2024-04-20 23:00:00,Absent
456,1992,2024-04-12 22:00:00,Present
692,5739,2024-02-05 22:00:00,Absent
547,6729,2024-09-21 23:00:00,Absent
984,2831,2024-06-19 21:00:00,Present
376,6655,2024-08-30 22:00:00,Present
775,8782,2024-10-16 22:00:00,Absent
768,63,2024-03-17 21:00:00,Present
793,4247,2024-08-29 21:00:00,Absent
478,9636,2024-01-25 23:00:00,Present
341,5657,2024-10-28 23:00:00,Present
731,8150,2024-08-16 21:00:00,Absent
406,2137,2024-04-06 22:00:00,Present
908,9447,2024-07-19 21:00:00,Present
767,3235,2024-05-10 22:00:00,Absent
323,4176,2024-07-24 23:00:00,Present
963,8096,2024-03-15 23:00:00,Present
828,3748,2024-04-04 21:00:00,Present
141,8309,2024-07-27 21:00:00,Absent
763,9413,2024-05-04 22:00:00,Absent
34,414,2024-02-22 23:00:00,Absent
146,131,2024-08-31 23:00:00,Present
409,3766,2024-02-05 21:00:00,Absent
617,2470,2024-05-07 21:00:00,Absent
683,8414,2024-02-03 21:00:00,Present
99,1707,2024-01-22 22:00:00,Present
368,8682,2024-07-26 21:00:00,Present
714,7635,2024-05-01 23:00:00,Absent
32,7273,2024-02-18 23:00:00,Absent
817,4459,2024-09-13 22:00:00,Present
965,7356,2024-03-13 22:00:00,Absent
197,2539,2024-05-14 22:00:00,Absent
26,2790,2024-08-28 22:00:00,Absent
222,6715,2024-08-10 22:00:00,Absent
963,3730,2024-04-08 23:00:00,Present
453,7603,2024-03-03 22:00:00,Present
794,7119,2024-10-27 22:00:00,Absent
18,6419,2024-05-11 23:00:00,Absent
419,666,2024-06-18 21:00:00,Absent
479,8731,2024-05-15 22:00:00,Absent
279,9282,2024-08-02 22:00:00,Present
842,3543,2024-06-09 23:00:00,Present
457,2596,2024-09-06 21:00:00,Present
27,7102,2024-04-28 23:00:00,Present
957,9939,2024-05-12 23:00:00,Absent
77,4270,2024-09-08 22:00:00,Absent
783,3326,2024-10-17 22:00:00,Absent
264,6576,2024-09-16 21:00:00,Present
879,6487,2024-09-24 22:00:00,Present
609,2257,2024-10-14 21:00:00,Absent
638,8137,2024-10-19 22:00:00,Absent
406,1571,2024-07-23 21:00:00,Absent
801,4523,2024-01-07 23:00:00,Absent
898,2499,2024-07-26 21:00:00,Present
339,814,2024-09-04 23:00:00,Present
352,5940,2024-06-26 22:00:00,Present
80,2736,2024-01-05 22:00:00,Absent
577,7274,2024-02-27 21:00:00,Present
656,525,2024-05-17 21:00:00,Present
310,6871,2024-06-07 23:00:00,Present
923,5560,2024-06-03 22:00:00,Present
595,5051,2024-03-21 22:00:00,Absent
79,6618,2024-02-07 23:00:00,Absent
322,5923,2024-06-17 21:00:00,Present
412,2595,2024-03-06 23:00:00,Absent
376,4968,2024-03-15 22:00:00,Absent
228,3842,2024-08-26 22:00:00,Present
962,2949,2024-08-31 22:00:00,Present
203,6363,2024-08-12 22:00:00,Present
218,6962,2024-07-31 21:00:00,Present
99,9007,2024-05-27 21:00:00,Absent
55,7557,2024-03-22 22:00:00,Present
391,2079,2024-09-29 22:00:00,Absent
773,9560,2024-08-09 22:00:00,Absent
66,4593,2024-04-07 21:00:00,Absent
929,6600,2024-03-08 22:00:00,Absent
723,6391,2024-05-27 22:00:00,Absent
206,9700,2024-07-25 23:00:00,Present
652,511,2024-01-18 21:00:00,Present
440,8964,2024-09-15 23:00:00,Absent
962,9564,2024-07-03 22:00:00,Present
953,9612,2024-01-13 23:00:00,Present
648,826,2024-10-17 23:00:00,Absent
874,3847,2024-03-10 21:00:00,Present
211,5578,2024-03-28 21:00:00,Present
891,2319,2024-02-03 22:00:00,Absent
568,2484,2024-05-27 22:00:00,Present
573,6017,2024-06-23 22:00:00,Present
542,9652,2024-02-16 22:00:00,Present
717,8901,2024-01-12 23:00:00,Present
1000,56,2024-02-26 21:00:00,Present
64,3280,2024-02-15 21:00:00,Present
311,7673,2024-09-02 23:00:00,Present
186,3633,2024-07-09 23:00:00,Absent
769,3360,2024-06-13 21:00:00,Present
947,9649,2024-03-15 21:00:00,Present
617,6253,2024-05-15 23:00:00,Present
998,2526,2024-06-19 23:00:00,Absent
728,196,2024-07-26 23:00:00,Present
732,5732,2024-10-10 23:00:00,Present
296,7371,2024-04-14 21:00:00,Present
57,2892,2024-05-26 21:00:00,Present
668,4320,2024-08-18 22:00:00,Present
44,9330,2024-04-11 23:00:00,Present
258,5552,2024-03-05 21:00:00,Absent
503,8987,2024-05-24 23:00:00,Absent
432,8547,2024-10-17 22:00:00,Present
886,2991,2024-08-16 23:00:00,Present
698,7661,2024-03-25 23:00:00,Present
531,4040,2024-09-01 22:00:00,Absent
578,5003,2024-10-24 22:00:00,Absent
868,8837,2024-01-04 21:00:00,Present
280,4925,2024-05-30 21:00:00,Absent
28,9498,2024-01-30 23:00:00,Present
522,6746,2024-10-02 22:00:00,Absent
204,3920,2024-04-09 23:00:00,Present
834,1263,2024-05-11 21:00:00,Absent
124,4625,2024-02-10 23:00:00,Present
978,4471,2024-08-12 21:00:00,Absent
798,9732,2024-02-23 21:00:00,Absent
694,9592,2024-07-22 23:00:00,Absent
379,8741,2024-06-27 21:00:00,Present
745,364,2024-05-30 21:00:00,Absent
271,7638,2024-05-02 23:00:00,Absent
347,8284,2024-06-04 22:00:00,Absent
531,8300,2024-04-15 21:00:00,Absent
120,3180,2024-02-28 23:00:00,Present
651,5962,2024-03-28 23:00:00,Absent
947,1413,2024-02-06 23:00:00,Present
961,8254,2024-03-03 23:00:00,Absent
411,4274,2024-08-20 22:00:00,Present
580,5583,2024-01-09 22:00:00,Absent
423,1717,2024-01-07 21:00:00,Absent
652,7156,2024-08-22 21:00:00,Present
527,1568,2024-06-22 23:00:00,Present
549,7616,2024-01-03 22:00:00,Present
997,2459,2024-02-02 23:00:00,Absent
594,288,2024-06-22 22:00:00,Present
532,5928,2024-07-24 22:00:00,Present
511,9062,2024-04-21 21:00:00,Present
880,8736,2024-08-08 21:00:00,Absent
416,8593,2024-01-23 23:00:00,Absent
188,8505,2024-07-04 22:00:00,Absent
351,4791,2024-05-22 23:00:00,Present
690,5656,2024-09-03 22:00:00,Present
687,220,2024-09-12 22:00:00,Absent
236,3746,2024-08-24 21:00:00,Present
887,1162,2024-06-12 23:00:00,Absent
844,138,2024-02-13 21:00:00,Absent
704,1464,2024-01-03 21:00:00,Absent
969,2547,2024-04-02 22:00:00,Present
349,9810,2024-01-06 22:00:00,Absent
148,6248,2024-05-24 22:00:00,Present
558,8492,2024-04-14 21:00:00,Present
693,6625,2024-10-16 22:00:00,Present
845,2586,2024-10-26 22:00:00,Absent
366,3996,2024-04-23 22:00:00,Present
957,9277,2024-08-08 22:00:00,Present
15,5550,2024-01-16 23:00:00,Absent
182,1831,2024-07-28 22:00:00,Absent
855,1347,2024-03-10 22:00:00,Present
298,1281,2024-08-28 23:00:00,Absent
571,7925,2024-05-25 23:00:00,Present
320,6590,2024-09-14 22:00:00,Absent
708,7627,2024-06-05 21:00:00,Present
41,8178,2024-05-23 22:00:00,Absent
894,5378,2024-01-22 21:00:00,Present
203,9705,2024-05-27 23:00:00,Present
211,2646,2024-09-28 22:00:00,Present
769,8396,2024-05-17 22:00:00,Absent
591,4092,2024-06-09 22:00:00,Absent
771,5538,2024-05-31 21:00:00,Absent
180,9165,2024-10-03 21:00:00,Present
139,8947,2024-01-30 22:00:00,Absent
162,8493,2024-09-28 23:00:00,Absent
155,3334,2024-04-26 21:00:00,Present
314,6751,2024-01-19 23:00:00,Absent
194,1164,2024-10-01 23:00:00,Absent
487,3891,2024-02-15 21:00:00,Present
426,447,2024-09-25 22:00:00,Present
823,4937,2024-09-26 21:00:00,Present
696,3685,2024-01-03 22:00:00,Present
654,92,2024-07-23 23:00:00,Present
685,128,2024-08-05 23:00:00,Present
210,4552,2024-04-09 22:00:00,Present
774,9855,2024-05-14 22:00:00,Present
702,118,2024-07-25 22:00:00,Absent
173,8442,2024-03-22 22:00:00,Absent
37,2674,2024-05-17 21:00:00,Absent
747,2600,2024-06-22 23:00:00,Present
462,4356,2024-05-21 23:00:00,Present
717,6136,2024-01-18 23:00:00,Absent
84,4470,2024-10-08 21:00:00,Present
644,6774,2024-01-08 21:00:00,Present
517,1925,2024-06-23 23:00:00,Absent
140,8549,2024-09-14 21:00:00,Absent
777,5371,2024-10-16 22:00:00,Present
134,1577,2024-02-18 21:00:00,Absent
213,7278,2024-04-29 21:00:00,Absent
77,4615,2024-10-15 22:00:00,Absent
759,7351,2024-07-04 21:00:00,Present
179,4345,2024-04-09 23:00:00,Present
517,2170,2024-10-14 22:00:00,Absent
939,4039,2024-01-11 23:00:00,Present
271,8750,2024-05-20 21:00:00,Present
531,3862,2024-09-20 21:00:00,Absent
625,7826,2024-06-25 21:00:00,Present
729,5805,2024-10-04 21:00:00,Present
117,691,2024-01-31 22:00:00,Absent
594,7938,2024-04-05 21:00:00,Present
894,7352,2024-06-03 21:00:00,Present
337,6979,2024-02-28 23:00:00,Absent
